boss,key,seed
WingRaptor,4th Tablet,6115178
Siren,2nd Tablet,6115178
Magisa & Forza,Big Bridge Key,6115178
LiquiFlame,Shrine Page,6115178
Sandworm,Adamantite,6115178
AdamanTiMi,Moogle Suit,6115178
Sol Cannon,Falls Page,6115178
Chim.Brain,Trench Page,6115178
Titan,Pyramid Page,6115178
Abductor,Ifrit's Fire,6115178
HiryuuPlant,Elder Branch,6115178
Atmos,1st Tablet,6115178
Antlion,Canal Key,6115178
Merugene,Walse Tower Key,6115178
Odin,Anti Barrier,6115178
Minotauros,3rd Tablet,6115178
Leviathan,Hiryuu Call,6115178
Bahamut,Steamship Key,6115178
Shiva,Bracelet,6115178
Crayclaw,Submarine Key,6115178
WingRaptor,Trench Page,9968623
Karlabos,Pyramid Page,9968623
Magisa & Forza,1st Tablet,9968623
AdamanTiMi,3rd Tablet,9968623
Sol Cannon,4th Tablet,9968623
ArchaeAvis,Walse Tower Key,9968623
Chim.Brain,Canal Key,9968623
Titan,Anti Barrier,9968623
Gilgamesh 1,Steamship Key,9968623
HiryuuPlant,Elder Branch,9968623
Gilgamesh 3 & Enkidou,Ifrit's Fire,9968623
Atmos,Adamantite,9968623
Carbunkle,Big Bridge Key,9968623
Antlion,Moogle Suit,9968623
Merugene,Shrine Page,9968623
Minotauros,Falls Page,9968623
Stalker,Bracelet,9968623
GoGo,2nd Tablet,9968623
Ifrit,Submarine Key,9968623
Shiva,Sandworm Bait,9968623
WingRaptor,Ifrit's Fire,2781101
Karlabos,3rd Tablet,2781101
Siren,2nd Tablet,2781101
Galura,Big Bridge Key,2781101
LiquiFlame,Adamantite,2781101
Sergeant & DeathClaw,Hiryuu Call,2781101
AdamanTiMi,Elder Branch,2781101
Sol Cannon,Falls Page,2781101
Chim.Brain,1st Tablet,2781101
Puroboros,Moogle Suit,2781101
Gilgamesh 2,Trench Page,2781101
Gilgamesh 3 & Enkidou,4th Tablet,2781101
Atmos,Bracelet,2781101
Guardians,Pyramid Page,2781101
Gilgamesh 4,Steamship Key,2781101
Antlion,Sandworm Bait,2781101
Odin,Submarine Key,2781101
"Triton, Neregeid & Phobos",Canal Key,2781101
Ifrit,Shrine Page,2781101
Crayclaw,Walse Tower Key,2781101
