check,value
12 Kuzar Events Assassin,1.0
12 Kuzar Events Earth Bell,2.0
12 Kuzar Events Flame Whip,3.0
12 Kuzar Events Masamune,0.0
12 Kuzar Events Rune Axe,3.0
12 Kuzar Events Sage's Staff,4.0
12 Kuzar Events Sasuke,2.5
"8 potions, Pirate after Torna Canal Key acquired Potion",2.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,2.0
Ancient Library Chest Ether,1.0
Ancient Library Chest Stealth Suit,2.0
Antlion New,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,4.0
Bal Castle Chest Angel Gwn,2.0
Bal Castle Chest Hero Drink,2.0
Barrier Tower Chest 18000,3.0
Barrier Tower Chest 9000,0.0
Barrier Tower Chest Drain Sword,2.0
Beginner's House Chest Ether,2.0
Beginner's House Chest Leather Shoes,2.0
Beginner's House Chest Phoenix Down,0.0
Beginner's House Chest Potion,4.0
Beginner's House Chest Tent,2.0
Black Choco Crystals Hunter,1.0
Brave Blade Brave Blade,2.0
Byblos New,4.0
Carbuncle Crbnkl,2.0
Carwen Box Ice Rod,2.0
Chancellor at Tycoon Healing Staff,3.0
Crayclaw New,4.0
Earth Crystal Dancer,3.0
Earth Crystal Dragoon,2.5
Exdeath's Castle Chest 9900,2.0
Exdeath's Castle Chest DblLance,4.0
Exdeath's Castle Chest Elixir,4.0
Exdeath's Castle Chest Gale Bow,2.0
Exdeath's Castle Chest Ice Shield,3.0
Exdeath's Castle Chest IceBrand,4.0
Exdeath's Castle Chest Kotetsu,1.0
Exdeath's Castle Chest Partisan,2.0
Fire Crystal Geomancer,1.0
Fire Crystal Mediator,3.0
Flying Lonka Ruins Chest Elixir,3.0
Flying Lonka Ruins Chest Ether,2.0
Flying Lonka Ruins Chest Hi-Potion,2.0
Flying Lonka Ruins Chest Phoenix Down,2.0
Flying Lonka Ruins Chest Shuriken,3.0
Fork Tower L. Chest Ether,3.0
Fork Tower R. Chest Defender Sword,2.0
Fork Tower R. Chest Hi-Potion,1.0
"Fork Tower, two Magics Holy",1.0
Galura New,4.0
Gilgamesh 1 New,4.0
GoGo New,4.0
Great Trench Chest DragonFang,2.0
Great Trench Chest Ether,1.0
Great Trench Chest Kaiser Knuckles,3.0
Great Trench Chest Phoenix Down,2.0
Hero Song from Crescent Town Hero,4.0
Hiryuu Valley Chest 5000,2.0
Hiryuu Valley Chest 7000,3.0
Hiryuu Valley Chest Coronet,1.0
Hiryuu Valley Chest Phoenix Down,2.0
HiryuuPlant New,4.0
Ifrit Ifrit,1.0
Istory Falls Chest Enhancer,3.0
Istory Falls Chest Ether,2.0
Istory Falls Chest Guard Ring,3.0
Istory Falls Chest Phoenix Down,2.0
Istory Falls Chest RuneEdge,1.0
Karlabos New,4.0
Karnak Castle Chest 2000,2.0
Karnak Castle Chest Elf Cape,4.0
Karnak Castle Chest Elixir,3.0
Karnak Castle Chest Guardian,3.0
Karnak Castle Chest Gungnir,1.0
Karnak Castle Chest Ribbon,4.0
Karnak Castle Chest Shuriken,2.0
Karnak Castle Chest Thunder Scroll,2.0
Karnak Town Barrel Fire Rod,2.0
Leviathan Esper Levia,4.0
