boss,key,seed
Siren,Moogle Suit,4020190
Magisa & Forza,Ifrit's Fire,4020190
LiquiFlame,Adamantite,4020190
Sergeant & DeathClaw,Elder Branch,4020190
Sandworm,Falls Page,4020190
Sol Cannon,2nd Tablet,4020190
Chim.Brain,Submarine Key,4020190
Titan,Walse Tower Key,4020190
Gilgamesh 2,1st Tablet,4020190
Tyrasaurus,Sandworm Bait,4020190
Abductor,Hiryuu Call,4020190
Gilgamesh 3 & Enkidou,Steamship Key,4020190
Guardians,3rd Tablet,4020190
Carbunkle,Pyramid Page,4020190
Gilgamesh 4,Shrine Page,4020190
"Triton, Neregeid & Phobos",4th Tablet,4020190
Minotauros,Canal Key,4020190
Leviathan,Bracelet,4020190
Bahamut,Big Bridge Key,4020190
Ifrit,Anti Barrier,4020190
