shop_name,value
Bal/Kelb Armor,2.142857142857143
Bal/Kelb Weapon,2.0
Carwen Armor,2.0
Carwen Inn,2.0
Carwen Magic,1.5
Carwen Weapon,2.25
Common World 1 Inn,2.375
Common World 2 Inn 1,2.5
Common World 2 Inn 2,2.625
Common World 2 Magic 1,2.0
Common World 2 Magic 2,2.0
Common World 2 Magic 3,1.6666666666666667
Crescent Armor,2.2
Crescent Weapon,2.0
Dwarf Armor,2.375
Dwarf Magic,2.0
Dwarf Weapon,2.0
Istory Relic,2.25
Jacole Armor,2.25
Jacole Weapon,2.0
Karnak Armor,2.142857142857143
Karnak Magic 1,2.0
Karnak Magic 2,1.5
Karnak Magic 3,2.142857142857143
Karnak Weapon 1,2.2857142857142856
Karnak Weapon 2,1.8333333333333333
Kelb Armor,2.0
Kelb Weapon,2.25
Lix Armor,2.8
Lix Guild,2.4285714285714284
Lix Inn,2.0
Lix Magic,2.0
Mirage Armor,2.0
Mirage Guild,1.625
Mirage Inn 1,2.0
Mirage Inn 2,2.125
Mirage Magic 1,2.0
Mirage Magic 2,2.0
Mirage Relic,1.625
Mirage Weapon,2.25
Mua Armor,2.142857142857143
Mua Magic 1,2.375
Mua Magic 2,1.8333333333333333
Mua Magic 3,3.1666666666666665
Mua Weapon,2.8333333333333335
Rugor Armor,1.6666666666666667
Rugor Weapon,2.1666666666666665
Surgate Armor,2.125
Surgate Weapon,1.75
Tule Armor,1.8
Tule Inn,1.5
Tule Magic,2.7142857142857144
Tule Weapon,2.0
Worus Armor,1.875
Worus Magic,1.75
Worus Weapon,2.0
