playthrough_log,all_keys_obtained_flag,completeable_seed_flag,sphere_num,tablets_sphere_num,sphere_zero_keys_num,seed
"Number of sphere zero keys: (11)
Sphere 0:	Trench Page	 (Karlabos loc)
Sphere 0:	2nd Tablet	 (Siren loc)
Sphere 0:	Submarine Key	 (Chim.Brain loc)
Sphere 0:	3rd Tablet	 (Titan loc)
Sphere 0:	Moogle Suit	 (Tyrasaurus loc)
Sphere 0:	Falls Page	 (Abductor loc)
Sphere 0:	Walse Tower Key	 (HiryuuPlant loc)
Sphere 0:	Anti Barrier	 (Antlion loc)
Sphere 0:	Ifrit's Fire	 (Merugene loc)
Sphere 0:	Shrine Page	 (Odin loc)
Sphere 0:	Adamantite	 (Crayclaw loc)
Sphere 1:	Big Bridge Key	 (ArchaeAvis loc via Adamantite)
Sphere 1:	Sandworm Bait	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Elder Branch	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 1:	Pyramid Page	 (Stalker loc via Shrine Page)
Sphere 1:	4th Tablet	 (GoGo loc via Submarine Key)
Sphere 2:	Steamship Key	 (Sandworm loc via Sandworm Bait)
Sphere 2:	Canal Key	 (Minotauros loc via Elder Branch)
Sphere 3:	Bracelet	 (Sergeant & DeathClaw loc via Steamship Key)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,11,7341478
"Number of sphere zero keys: (8)
Sphere 0:	Adamantite	 (WingRaptor loc)
Sphere 0:	Canal Key	 (Karlabos loc)
Sphere 0:	Elder Branch	 (Siren loc)
Sphere 0:	Shrine Page	 (AdamanTiMi loc)
Sphere 0:	2nd Tablet	 (Puroboros loc)
Sphere 0:	Falls Page	 (Antlion loc)
Sphere 0:	Anti Barrier	 (Odin loc)
Sphere 0:	4th Tablet	 (Ifrit loc)
Sphere 1:	Bracelet	 (ArchaeAvis loc via Adamantite)
Sphere 1:	3rd Tablet	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Hiryuu Call	 (Guardians loc via Elder Branch)
Sphere 1:	Ifrit's Fire	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Steamship Key	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Pyramid Page	 (Stalker loc via Shrine Page)
Sphere 2:	Big Bridge Key	 (Byblos loc via Ifrit's Fire)
Sphere 2:	Walse Tower Key	 (LiquiFlame loc via Steamship Key)
Sphere 2:	Sandworm Bait	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 2:	Trench Page	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,8,6698498
"Number of sphere zero keys: (10)
Sphere 0:	Steamship Key	 (WingRaptor loc)
Sphere 0:	Anti Barrier	 (Karlabos loc)
Sphere 0:	Bracelet	 (Siren loc)
Sphere 0:	Canal Key	 (Chim.Brain loc)
Sphere 0:	Elder Branch	 (Titan loc)
Sphere 0:	Moogle Suit	 (Tyrasaurus loc)
Sphere 0:	Submarine Key	 (HiryuuPlant loc)
Sphere 0:	Big Bridge Key	 (Antlion loc)
Sphere 0:	Sandworm Bait	 (Odin loc)
Sphere 0:	4th Tablet	 (Ifrit loc)
Sphere 1:	Shrine Page	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	1st Tablet	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Walse Tower Key	 (Guardians loc via Elder Branch)
Sphere 1:	Ifrit's Fire	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Trench Page	 (Omniscient loc via Elder Branch)
Sphere 1:	3rd Tablet	 (Stalker loc via Shrine Page)
Sphere 1:	Adamantite	 (GoGo loc via Submarine Key)
Sphere 2:	Pyramid Page	 (Galura loc via Walse Tower Key)
Sphere 2:	Hiryuu Call	 (ArchaeAvis loc via Adamantite)
Sphere 2:	2nd Tablet	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
All tablets obtained (2 spheres).
All keys obtained.
",True,True,3,2,10,2541039
"Number of sphere zero keys: (12)
Sphere 0:	Adamantite	 (WingRaptor loc)
Sphere 0:	Big Bridge Key	 (Karlabos loc)
Sphere 0:	3rd Tablet	 (Siren loc)
Sphere 0:	Elder Branch	 (Magisa & Forza loc)
Sphere 0:	Falls Page	 (Puroboros loc)
Sphere 0:	Submarine Key	 (Titan loc)
Sphere 0:	Steamship Key	 (Abductor loc)
Sphere 0:	Anti Barrier	 (HiryuuPlant loc)
Sphere 0:	Shrine Page	 (Odin loc)
Sphere 0:	Ifrit's Fire	 (Bahamut loc)
Sphere 0:	Moogle Suit	 (Shiva loc)
Sphere 0:	Walse Tower Key	 (Crayclaw loc)
Sphere 1:	2nd Tablet	 (Byblos loc via Ifrit's Fire)
Sphere 1:	Trench Page	 (LiquiFlame loc via Steamship Key)
Sphere 1:	4th Tablet	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	1st Tablet	 (Atmos loc via Submarine Key)
Sphere 1:	Sandworm Bait	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 2:	Bracelet	 (Sandworm loc via Sandworm Bait)
Sphere 2:	Pyramid Page	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 2:	Hiryuu Call	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
All tablets obtained (1 spheres).
All keys obtained.
",True,True,3,1,12,1961754
"Number of sphere zero keys: (11)
Sphere 0:	Hiryuu Call	 (Karlabos loc)
Sphere 0:	2nd Tablet	 (Siren loc)
Sphere 0:	4th Tablet	 (AdamanTiMi loc)
Sphere 0:	Ifrit's Fire	 (Puroboros loc)
Sphere 0:	Trench Page	 (Tyrasaurus loc)
Sphere 0:	Big Bridge Key	 (Abductor loc)
Sphere 0:	Anti Barrier	 (HiryuuPlant loc)
Sphere 0:	Walse Tower Key	 (Antlion loc)
Sphere 0:	Sandworm Bait	 (Odin loc)
Sphere 0:	Steamship Key	 (Bahamut loc)
Sphere 0:	Moogle Suit	 (Crayclaw loc)
Sphere 1:	Canal Key	 (Byblos loc via Ifrit's Fire)
Sphere 1:	1st Tablet	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Elder Branch	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Bracelet	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Shrine Page	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 1:	Falls Page	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Submarine Key	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	3rd Tablet	 (Minotauros loc via Elder Branch)
Sphere 1:	Adamantite	 (Leviathan loc via Submarine Key, Falls Page)
All tablets obtained (1 spheres).
All keys obtained.
",True,True,2,1,11,1455651
"Number of sphere zero keys: (10)
Sphere 0:	Walse Tower Key	 (Karlabos loc)
Sphere 0:	Adamantite	 (Siren loc)
Sphere 0:	Pyramid Page	 (Magisa & Forza loc)
Sphere 0:	Ifrit's Fire	 (Chim.Brain loc)
Sphere 0:	Elder Branch	 (Puroboros loc)
Sphere 0:	Hiryuu Call	 (Titan loc)
Sphere 0:	Steamship Key	 (HiryuuPlant loc)
Sphere 0:	3rd Tablet	 (Merugene loc)
Sphere 0:	Falls Page	 (Ifrit loc)
Sphere 0:	Anti Barrier	 (Shiva loc)
Sphere 1:	Trench Page	 (LiquiFlame loc via Steamship Key)
Sphere 1:	Shrine Page	 (Sol Cannon loc via Adamantite)
Sphere 1:	Submarine Key	 (Guardians loc via Elder Branch)
Sphere 1:	Canal Key	 (Omniscient loc via Elder Branch)
Sphere 1:	Sandworm Bait	 (Minotauros loc via Elder Branch)
Sphere 1:	Big Bridge Key	 (Stalker loc via Shrine Page)
Sphere 1:	Bracelet	 (GoGo loc via Submarine Key)
Sphere 2:	1st Tablet	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 2:	Moogle Suit	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 2:	4th Tablet	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
All tablets NOT obtained.
All keys obtained.
",True,False,3,0,10,9306751
"Number of sphere zero keys: (7)
Sphere 0:	Walse Tower Key	 (Siren loc)
Sphere 0:	Trench Page	 (Titan loc)
Sphere 0:	Big Bridge Key	 (Abductor loc)
Sphere 0:	Anti Barrier	 (Antlion loc)
Sphere 0:	Pyramid Page	 (Odin loc)
Sphere 0:	Ifrit's Fire	 (Bahamut loc)
Sphere 0:	1st Tablet	 (Shiva loc)
Sphere 1:	Falls Page	 (Byblos loc via Ifrit's Fire)
Sphere 1:	2nd Tablet	 (Galura loc via Walse Tower Key)
Sphere 1:	Adamantite	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Submarine Key	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 1:	Bracelet	 (Atmos loc via Submarine Key)
Sphere 1:	Shrine Page	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	4th Tablet	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	3rd Tablet	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 2:	Hiryuu Call	 (Sol Cannon loc via Adamantite)
Sphere 2:	Steamship Key	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
All tablets obtained (1 spheres).
All keys NOT obtained.
",False,True,100,1,7,7090102
"Number of sphere zero keys: (8)
Sphere 0:	Sandworm Bait	 (Siren loc)
Sphere 0:	2nd Tablet	 (AdamanTiMi loc)
Sphere 0:	Shrine Page	 (Chim.Brain loc)
Sphere 0:	Moogle Suit	 (Puroboros loc)
Sphere 0:	Submarine Key	 (Tyrasaurus loc)
Sphere 0:	Hiryuu Call	 (Abductor loc)
Sphere 0:	Elder Branch	 (HiryuuPlant loc)
Sphere 0:	4th Tablet	 (Bahamut loc)
Sphere 1:	Big Bridge Key	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 1:	Falls Page	 (Atmos loc via Submarine Key)
Sphere 1:	3rd Tablet	 (Omniscient loc via Elder Branch)
Sphere 1:	Bracelet	 (Minotauros loc via Elder Branch)
Sphere 1:	Canal Key	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 1:	Adamantite	 (Stalker loc via Shrine Page)
Sphere 1:	Walse Tower Key	 (GoGo loc via Submarine Key)
Sphere 2:	Pyramid Page	 (Galura loc via Walse Tower Key)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,8,5367912
"Number of sphere zero keys: (11)
Sphere 0:	Steamship Key	 (Siren loc)
Sphere 0:	2nd Tablet	 (Magisa & Forza loc)
Sphere 0:	Bracelet	 (Titan loc)
Sphere 0:	4th Tablet	 (Abductor loc)
Sphere 0:	Hiryuu Call	 (HiryuuPlant loc)
Sphere 0:	Elder Branch	 (Antlion loc)
Sphere 0:	Pyramid Page	 (Merugene loc)
Sphere 0:	Trench Page	 (Odin loc)
Sphere 0:	Submarine Key	 (Ifrit loc)
Sphere 0:	Anti Barrier	 (Shiva loc)
Sphere 0:	Ifrit's Fire	 (Crayclaw loc)
Sphere 1:	Sandworm Bait	 (LiquiFlame loc via Steamship Key)
Sphere 1:	Moogle Suit	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Falls Page	 (Atmos loc via Submarine Key)
Sphere 1:	Big Bridge Key	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Shrine Page	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	3rd Tablet	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Canal Key	 (Minotauros loc via Elder Branch)
Sphere 1:	1st Tablet	 (Stalker loc via Shrine Page)
Sphere 2:	Walse Tower Key	 (Gilgamesh 2 loc via Big Bridge Key)
All tablets obtained (1 spheres).
All keys obtained.
",True,True,3,1,11,4344320
"Number of sphere zero keys: (8)
Sphere 0:	Trench Page	 (Karlabos loc)
Sphere 0:	Ifrit's Fire	 (Siren loc)
Sphere 0:	Adamantite	 (Magisa & Forza loc)
Sphere 0:	Walse Tower Key	 (Chim.Brain loc)
Sphere 0:	Submarine Key	 (Titan loc)
Sphere 0:	Steamship Key	 (Abductor loc)
Sphere 0:	Elder Branch	 (Odin loc)
Sphere 0:	Sandworm Bait	 (Bahamut loc)
Sphere 1:	Shrine Page	 (Galura loc via Walse Tower Key)
Sphere 1:	1st Tablet	 (LiquiFlame loc via Steamship Key)
Sphere 1:	Moogle Suit	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Pyramid Page	 (Sandworm loc via Sandworm Bait)
Sphere 1:	4th Tablet	 (Atmos loc via Submarine Key)
Sphere 1:	Falls Page	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	3rd Tablet	 (Minotauros loc via Elder Branch)
Sphere 1:	2nd Tablet	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 1:	Bracelet	 (Stalker loc via Shrine Page)
All tablets obtained (1 spheres).
All keys NOT obtained.
",False,True,100,1,8,5465129
