shop_name,shop_type,item,seed
Tule Weapon,07,Equip Rods,7341478
Tule Weapon,07,Image,7341478
Tule Weapon,07,Mediator,7341478
Tule Weapon,07,None,7341478
Tule Weapon,07,None,7341478
Tule Weapon,07,None,7341478
Tule Weapon,07,None,7341478
Tule Weapon,07,None,7341478
Tule Armor,01,Earth Bell,7341478
Tule Armor,01,Mythril Hammer,7341478
Tule Armor,01,Slumber Sword,7341478
Tule Armor,01,Golden Shield,7341478
Tule Armor,01,HiPotion,7341478
Tule Armor,01,HiPotion,7341478
Tule Armor,01,HiPotion,7341478
Tule Armor,01,Cabin,7341478
Tule Inn,01,Earth Bell,7341478
Tule Inn,01,Fire Bow,7341478
Tule Inn,01,Orialcon,7341478
Tule Inn,01,TurtleShell,7341478
Tule Inn,01,Potion,7341478
Tule Inn,01,Elixir,7341478
Tule Inn,01,Phoenix Down,7341478
Tule Inn,01,None,7341478
Tule Magic,07,Equip Bows,7341478
Tule Magic,07,Dragoon,7341478
Tule Magic,07,Dancer,7341478
Tule Magic,07,Black Lv.2,7341478
Tule Magic,07,None,7341478
Tule Magic,07,None,7341478
Tule Magic,07,None,7341478
Tule Magic,07,None,7341478
Carwen Weapon,01,Diamond Helm,7341478
Carwen Weapon,01,Mirage Vest,7341478
Carwen Weapon,01,Rune Axe,7341478
Carwen Weapon,01,Hero Drink,7341478
Carwen Weapon,01,Tent,7341478
Carwen Weapon,01,None,7341478
Carwen Weapon,01,None,7341478
Carwen Weapon,01,None,7341478
Carwen Armor,07,Freelancer,7341478
Carwen Armor,07,Ninja,7341478
Carwen Armor,07,HP +10%,7341478
Carwen Armor,07,MgcSwrd Lv.3,7341478
Carwen Armor,07,None,7341478
Carwen Armor,07,None,7341478
Carwen Armor,07,None,7341478
Carwen Armor,07,None,7341478
Carwen Inn,00,Golem,7341478
Carwen Inn,00,Doom,7341478
Carwen Inn,00,Remora,7341478
Carwen Inn,00,Requiem,7341478
Carwen Inn,00,Psych,7341478
Carwen Inn,00,None,7341478
Carwen Inn,00,None,7341478
Carwen Inn,00,None,7341478
Carwen Magic,00,Bersk,7341478
Carwen Magic,00,Hammer,7341478
Carwen Magic,00,Mute,7341478
Carwen Magic,00,TinySong,7341478
Carwen Magic,00,Exit,7341478
Carwen Magic,00,None,7341478
Carwen Magic,00,None,7341478
Carwen Magic,00,None,7341478
Worus Weapon,00,MgthyGrd,7341478
Worus Weapon,00,Chocob,7341478
Worus Weapon,00,Roulette,7341478
Worus Weapon,00,None,7341478
Worus Weapon,00,None,7341478
Worus Weapon,00,None,7341478
Worus Weapon,00,None,7341478
Worus Weapon,00,None,7341478
Worus Armor,01,Shoat,7341478
Worus Armor,01,Javelin,7341478
Worus Armor,01,Apollo's Harp,7341478
Worus Armor,01,Silver Harp,7341478
Worus Armor,01,Leather Shield,7341478
Worus Armor,01,AntiMagic Bow,7341478
Worus Armor,01,Soft,7341478
Worus Armor,01,LuckMallet,7341478
Worus Magic,01,Mythril Armor,7341478
Worus Magic,01,Angel Ring,7341478
Worus Magic,01,Trident,7341478
Worus Magic,01,Ancient Sword,7341478
Worus Magic,01,Training Suit,7341478
Worus Magic,01,Earth Bell,7341478
Worus Magic,01,Angel Gwn,7341478
Worus Magic,01,Potion,7341478
Karnak Weapon 1,07,Samurai,7341478
Karnak Weapon 1,07,TimeMage,7341478
Karnak Weapon 1,07,Aim,7341478
Karnak Weapon 1,07,WhiteMage,7341478
Karnak Weapon 1,07,None,7341478
Karnak Weapon 1,07,None,7341478
Karnak Weapon 1,07,None,7341478
Karnak Weapon 1,07,None,7341478
Karnak Weapon 2,07,Combine,7341478
Karnak Weapon 2,07,Red Lv.2,7341478
Karnak Weapon 2,07,White Lv.2,7341478
Karnak Weapon 2,07,Smoke,7341478
Karnak Weapon 2,07,None,7341478
Karnak Weapon 2,07,None,7341478
Karnak Weapon 2,07,None,7341478
Karnak Weapon 2,07,None,7341478
Karnak Armor,01,Trident,7341478
Karnak Armor,01,Ice Rod,7341478
Karnak Armor,01,Bronze Shield,7341478
Karnak Armor,01,Mythril Glove,7341478
Karnak Armor,01,Giyaman,7341478
Karnak Armor,01,Flame Shield,7341478
Karnak Armor,01,AntiMagic Bow,7341478
Karnak Armor,01,Mythril Spear,7341478
Common World 1 Inn,00,Stop,7341478
Common World 1 Inn,00,Bolt2,7341478
Common World 1 Inn,00,GuardOff,7341478
Common World 1 Inn,00,Psych,7341478
Common World 1 Inn,00,Aero,7341478
Common World 1 Inn,00,None,7341478
Common World 1 Inn,00,None,7341478
Common World 1 Inn,00,None,7341478
Karnak Magic 1,01,Drain Sword,7341478
Karnak Magic 1,01,Thunder Scroll,7341478
Karnak Magic 1,01,Phoenix Down,7341478
Karnak Magic 1,01,Killer Bow,7341478
Karnak Magic 1,01,Ice Rod,7341478
Karnak Magic 1,01,Wizard Rod,7341478
Karnak Magic 1,01,Dagger,7341478
Karnak Magic 1,01,Elixir,7341478
Karnak Magic 2,00,Ifrit,7341478
Karnak Magic 2,00,DrkShock,7341478
Karnak Magic 2,00,Toad,7341478
Karnak Magic 2,00,Regen,7341478
Karnak Magic 2,00,Void,7341478
Karnak Magic 2,00,None,7341478
Karnak Magic 2,00,None,7341478
Karnak Magic 2,00,None,7341478
Karnak Magic 3,07,Tame,7341478
Karnak Magic 3,07,Preemptive,7341478
Karnak Magic 3,07,Animals,7341478
Karnak Magic 3,07,MP +10%,7341478
Karnak Magic 3,07,None,7341478
Karnak Magic 3,07,None,7341478
Karnak Magic 3,07,None,7341478
Karnak Magic 3,07,None,7341478
Crescent Weapon,00,Dispel,7341478
Crescent Weapon,00,Ice,7341478
