boss,key,seed
Karlabos,Trench Page,7341478
Siren,2nd Tablet,7341478
Sergeant & DeathClaw,Bracelet,7341478
Sandworm,Steamship Key,7341478
ArchaeAvis,Big Bridge Key,7341478
Chim.Brain,Submarine Key,7341478
Titan,3rd Tablet,7341478
Gilgamesh 1,Sandworm Bait,7341478
Tyrasaurus,Moogle Suit,7341478
Abductor,Falls Page,7341478
HiryuuPlant,Walse Tower Key,7341478
Gilgamesh 3 & Enkidou,1st Tablet,7341478
Antlion,Anti Barrier,7341478
Merugene,Ifrit's Fire,7341478
Odin,Shrine Page,7341478
Minotauros,Canal Key,7341478
Leviathan,Elder Branch,7341478
Stalker,Pyramid Page,7341478
GoGo,4th Tablet,7341478
Crayclaw,Adamantite,7341478
Byblos,Big Bridge Key,6698498
WingRaptor,Adamantite,6698498
Karlabos,Canal Key,6698498
Siren,Elder Branch,6698498
LiquiFlame,Walse Tower Key,6698498
Sergeant & DeathClaw,Sandworm Bait,6698498
AdamanTiMi,Shrine Page,6698498
ArchaeAvis,Bracelet,6698498
Puroboros,2nd Tablet,6698498
Gilgamesh 1,3rd Tablet,6698498
Gilgamesh 3 & Enkidou,Trench Page,6698498
Guardians,Hiryuu Call,6698498
Carbunkle,Ifrit's Fire,6698498
Gilgamesh 4,Steamship Key,6698498
Antlion,Falls Page,6698498
Odin,Anti Barrier,6698498
"Triton, Neregeid & Phobos",1st Tablet,6698498
Stalker,Pyramid Page,6698498
GoGo,Moogle Suit,6698498
Ifrit,4th Tablet,6698498
WingRaptor,Steamship Key,2541039
Karlabos,Anti Barrier,2541039
Siren,Bracelet,2541039
Galura,Pyramid Page,2541039
Sergeant & DeathClaw,Shrine Page,2541039
ArchaeAvis,Hiryuu Call,2541039
Chim.Brain,Canal Key,2541039
Titan,Elder Branch,2541039
Gilgamesh 1,1st Tablet,2541039
Tyrasaurus,Moogle Suit,2541039
HiryuuPlant,Submarine Key,2541039
Gilgamesh 3 & Enkidou,2nd Tablet,2541039
Guardians,Walse Tower Key,2541039
Gilgamesh 4,Ifrit's Fire,2541039
Antlion,Big Bridge Key,2541039
Odin,Sandworm Bait,2541039
Omniscient,Trench Page,2541039
Stalker,3rd Tablet,2541039
GoGo,Adamantite,2541039
Ifrit,4th Tablet,2541039
Byblos,2nd Tablet,1961754
WingRaptor,Adamantite,1961754
Karlabos,Big Bridge Key,1961754
Siren,3rd Tablet,1961754
Magisa & Forza,Elder Branch,1961754
LiquiFlame,Trench Page,1961754
Sandworm,Bracelet,1961754
Puroboros,Falls Page,1961754
Titan,Submarine Key,1961754
Gilgamesh 1,4th Tablet,1961754
Abductor,Steamship Key,1961754
HiryuuPlant,Anti Barrier,1961754
Atmos,1st Tablet,1961754
Carbunkle,Pyramid Page,1961754
Gilgamesh 4,Hiryuu Call,1961754
Odin,Shrine Page,1961754
Leviathan,Sandworm Bait,1961754
Bahamut,Ifrit's Fire,1961754
Shiva,Moogle Suit,1961754
Crayclaw,Walse Tower Key,1961754
Byblos,Canal Key,1455651
Karlabos,Hiryuu Call,1455651
Siren,2nd Tablet,1455651
Sergeant & DeathClaw,1st Tablet,1455651
Sandworm,Elder Branch,1455651
AdamanTiMi,4th Tablet,1455651
Puroboros,Ifrit's Fire,1455651
Gilgamesh 1,Bracelet,1455651
Gilgamesh 2,Shrine Page,1455651
Tyrasaurus,Trench Page,1455651
Abductor,Big Bridge Key,1455651
HiryuuPlant,Anti Barrier,1455651
Carbunkle,Falls Page,1455651
Gilgamesh 4,Submarine Key,1455651
Antlion,Walse Tower Key,1455651
Odin,Sandworm Bait,1455651
Minotauros,3rd Tablet,1455651
Leviathan,Adamantite,1455651
Bahamut,Steamship Key,1455651
Crayclaw,Moogle Suit,1455651
Karlabos,Walse Tower Key,9306751
