check,reward,mib,reward_value,seed
Wind Crystal Knight,Thunder Scroll,,100.0,7341478
Wind Crystal BlueMage,Mythril Staff,,250.0,7341478
Wind Crystal BlackMage,DarkHood,,3250.0,7341478
Wind Crystal WhiteMage,BlackMage Job Crystal,,0.0,7341478
Wind Crystal Monk,Thunder Bow,,1250.0,7341478
Wind Crystal Thief,????->Fusion->Exploder->DrkShock,,0.0,7341478
Fire Crystal Mediator,GbnPnch->Emision->Missle->Blwfsh,,0.0,7341478
Fire Crystal Geomancer,Flash->Time Slip->DethClaw,,0.0,7341478
Fire Crystal Ninja,Aero Blue Magic Progressive,,0.0,7341478
Black Choco Crystals Bard,Mirage Vest,,5000.0,7341478
Black Choco Crystals Hunter,Pray,,0.0,7341478
Earth Crystal Samurai,Venom Axe,,4800.0,7341478
Earth Crystal Dragoon,Chemist Job Crystal,,0.0,7341478
Earth Crystal Chemist,AntiMagic Bow,,5000.0,7341478
Earth Crystal Dancer,Ice Rod,,375.0,7341478
Leviathan Esper Levia,Slow->Stop->Slow2,,0.0,7341478
Titan Titan,Bronze Armor,,200.0,7341478
Carbuncle Crbnkl,DragonFang,,2500.0,7341478
Syldra Syldra,Whip,,550.0,7341478
Odin Odin,HiPotion,,180.0,7341478
Phoenix Phenix,Leather Cap,,25.0,7341478
Bahamut Bahmut,Rainbow Dress,,2900.0,7341478
Life (or Strength) Song from Crescent Town bard Vitality,Bolt Black Magic Progressive,,0.0,7341478
Temptation Song at Lix Charm,Darkness Bow,,1900.0,7341478
Love Song at Istory Love,Summon Ability Progressive,,0.0,7341478
Requiem Song at Kelb Requiem,Flail,,390.0,7341478
Speed Song at Surgate Speed,Strength,,2250.0,7341478
Magic Song at Ancient Library Magic,Counter,,0.0,7341478
Power Song from Crescent Town Power,Potion,,20.0,7341478
Hero Song from Crescent Town Hero,Void->Demi->Qrter->Old,,0.0,7341478
"Fork Tower, two Magics Holy",Mythril Staff,,250.0,7341478
"Fork Tower, two Magics Flare",Tricorn Hat,,750.0,7341478
Meteo Meteo,Elixir,,25000.0,7341478
"5 potions in Wind Shrine, bottom left guy Potion",Cursed Ring,,2500.0,7341478
"8 potions, Pirate after Torna Canal Key acquired Potion",Broadsword,,140.0,7341478
Chancellor at Tycoon Healing Staff,Mimic Job Crystal,,0.0,7341478
Magisa & Forza Mythril Helm,DarkMatter,,25000.0,7341478
CornaJar at Kelb CornaJar,Venom Rod,,750.0,7341478
Ribbon from girl in Rugor Ribbon,DrgnCrest,,0.0,7341478
