boss,key,seed
Byblos,Submarine Key,1367666
Siren,Steamship Key,1367666
Sergeant & DeathClaw,Pyramid Page,1367666
Sandworm,Moogle Suit,1367666
AdamanTiMi,Elder Branch,1367666
Sol Cannon,Bracelet,1367666
Puroboros,4th Tablet,1367666
Titan,Big Bridge Key,1367666
Tyrasaurus,Ifrit's Fire,1367666
Abductor,2nd Tablet,1367666
HiryuuPlant,Hiryuu Call,1367666
Gilgamesh 3 & Enkidou,Trench Page,1367666
Atmos,Sandworm Bait,1367666
Gilgamesh 4,3rd Tablet,1367666
Antlion,Anti Barrier,1367666
Odin,1st Tablet,1367666
Minotauros,Falls Page,1367666
Bahamut,Canal Key,1367666
Ifrit,Adamantite,1367666
Crayclaw,Walse Tower Key,1367666
