check,reward,mib,reward_value,seed
Wind Crystal Knight,Maiden's Kiss,,30.0,1367666
Wind Crystal BlueMage,Speed Drink,,55.0,1367666
Wind Crystal BlackMage,Cursed Ring,,2500.0,1367666
Wind Crystal WhiteMage,Dbl Grip,,0.0,1367666
Wind Crystal Monk,Tent,,125.0,1367666
Wind Crystal Thief,Gaia Gear,,1000.0,1367666
Fire Crystal Mediator,Ether,,750.0,1367666
Fire Crystal Geomancer,Fire Sword Magic Progressive,,0.0,1367666
Fire Crystal Ninja,Dagger,,150.0,1367666
Black Choco Crystals Bard,MP +X%,,0.0,1367666
Black Choco Crystals Hunter,Strength,,2250.0,1367666
Earth Crystal Samurai,Sage's Staff,,10000.0,1367666
Earth Crystal Dragoon,Mythril Sword,,440.0,1367666
Earth Crystal Chemist,Venom Axe,,4800.0,1367666
Earth Crystal Dancer,Kunai,,300.0,1367666
Leviathan Esper Levia,Flame Shield,,20000.0,1367666
Titan Titan,Fire Bow,,1250.0,1367666
Carbuncle Crbnkl,Red1->Red2->Red3->X-Magic,,0.0,1367666
Syldra Syldra,Knife,,75.0,1367666
Odin Odin,Elven Bow,,3750.0,1367666
Phoenix Phenix,Flametongue,,5000.0,1367666
Bahamut Bahmut,ManEater,,12500.0,1367666
Life (or Strength) Song from Crescent Town bard Vitality,Protect Drink,,55.0,1367666
Temptation Song at Lix Charm,Hero Drink,,55.0,1367666
Love Song at Istory Love,????->Fusion->Exploder->DrkShock,,0.0,1367666
Requiem Song at Kelb Requiem,Cure White Magic Progressive,,0.0,1367666
Speed Song at Surgate Speed,Staff,,100.0,1367666
Magic Song at Ancient Library Magic,MgcSword Ability Progressive,,0.0,1367666
Power Song from Crescent Town Power,Agility,,,1367666
Hero Song from Crescent Town Hero,White Ability Progressive,,0.0,1367666
"Fork Tower, two Magics Holy",MgcSword Ability Progressive,,0.0,1367666
"Fork Tower, two Magics Flare",Shiva->Ramuh->Ifrit->Bahmut,,0.0,1367666
Meteo Meteo,CopperPlt,,175.0,1367666
"5 potions in Wind Shrine, bottom left guy Potion",Thunder Bow,,1250.0,1367666
"8 potions, Pirate after Torna Canal Key acquired Potion",Whip,,550.0,1367666
Chancellor at Tycoon Healing Staff,Healing Staff,,450.0,1367666
Magisa & Forza Mythril Helm,Battle Axe,,325.0,1367666
CornaJar at Kelb CornaJar,Life->Life2,,0.0,1367666
Ribbon from girl in Rugor Ribbon,Ice Bow,,1250.0,1367666
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Guardian,,1300.0,1367666
12 Kuzar Events Assassin,Tempest,,15000.0,1367666
12 Kuzar Events Apollo's Harp,Sleep->Bio->Flare Sword,,0.0,1367666
12 Kuzar Events Excalibur,Cure White Magic Progressive,,0.0,1367666
12 Kuzar Events Flame Whip,Coral Ring,,25000.0,1367666
12 Kuzar Events Earth Bell,Bronze Helm,,125.0,1367666
12 Kuzar Events Holy Lance,Counter,,0.0,1367666
12 Kuzar Events Masamune,Sylph->Crbnkl->Phenix->Syldra,,0.0,1367666
12 Kuzar Events Wizard Rod,Venom->Drain->Break,,0.0,1367666
12 Kuzar Events Rune Axe,Sleep->Psych->Doom,,0.0,1367666
12 Kuzar Events Sage's Staff,Animals->Aim->X-Fight,,0.0,1367666
12 Kuzar Events Sasuke,Gauntlets,,1500.0,1367666
12 Kuzar Events Yoichi Bow,Defender Sword,,5500.0,1367666
Shiva Shiva,L4Qrter->L3Flare->L2Old->L5Doom,,0.0,1367666
Ifrit Ifrit,Black Ability Progressive,,0.0,1367666
Water Crystal Samurai,Shiva->Ramuh->Ifrit->Bahmut,,0.0,1367666
Water Crystal Berserker,DoomCut,,2950.0,1367666
Water Crystal MysticKnight,Black Ability Progressive,,0.0,1367666
Water Crystal TimeMage,Silver Armlet,,250.0,1367666
Water Crystal Summoner,Bronze Armor,,200.0,1367666
Brave Blade Brave Blade,Shiva->Ramuh->Ifrit->Bahmut,,0.0,1367666
Chicken Knife Chicken Knife,Artemis Bow,,15000.0,1367666
Tycoon Castle Cabin Cabin,Caution,,0.0,1367666
Walse Tower Chest GoGo,Red1->Red2->Red3->X-Magic,,0.0,1367666
Pyramid Top Pyramid Tablet,Bronze Armor,,200.0,1367666
Toad Event Toad,Regen->Float->Reset->Xzone,,0.0,1367666
Aegis Shield Chest Aegis Shield,Orialcon,,1700.0,1367666
Lone Wolf Barrel Cabin,Mirage Vest,,5000.0,1367666
Lone Wolf Chest Thunder Whip,Thunder Whip,,1100.0,1367666
Moat Item Epee,Magic->Love@Song,,0.0,1367666
Shop Backdoor Lamia Harp,Vampire->MindBlst->WhiteWind,,0.0,1367666
Top of the Falls Magic Lamp,Magic Lamp,,5000.0,1367666
Wind Shrine Chest Broadsword,Genji Shield,,10000.0,1367666
Beginner's House Chest Ether,BlackMage Job Crystal,,0.0,1367666
Beginner's House Chest 100,Revive,,0.0,1367666
Beginner's House Chest Potion,Leather Armor,,40.0,1367666
Beginner's House Chest Phoenix Down,Ether,,750.0,1367666
Beginner's House Chest Tent,Flash->Time Slip->DethClaw,,0.0,1367666
Beginner's House Chest Leather Shoes,Leather Cap,,25.0,1367666
Pirate's Cave Chest Leather Cap,Cabin,,300.0,1367666
Pirate's Cave Chest Tent,Silk robe,,250.0,1367666
Pirate's Cave Chest Ether,Cotton Robe,,150.0,1367666
Pirate's Cave Chest 300,Dagger,,150.0,1367666
Wind Shrine Chest Tent,9500 gil,,9500.0,1367666
Wind Shrine Chest Leather Cap,9000 gil,,9000.0,1367666
Wind Shrine Chest Staff,Javelin,,50.0,1367666
Tule Barrel 150,990 gil,,990.0,1367666
Tule Box Leather Shoes,Ether,MIB,750.0,1367666
Tule Barrel Potion,Knight Job Crystal,,0.0,1367666
Tule Box Tent,18000 gil,,18000.0,1367666
Tule Bush Phoenix Down,DoomCut,,2950.0,1367666
Ship Graveyard Chest Flail,Remora->Shoat->Levia,,0.0,1367666
Ship Graveyard Chest Phoenix Down,Mythril Shield,,295.0,1367666
Ship Graveyard Chest Tent,12000 gil,,12000.0,1367666
Ship Graveyard Box 990,Flame Whip,,10000.0,1367666
Ship Graveyard Chest Potion,Dancer Job Crystal,,0.0,1367666
Ship Graveyard Chest Antidote,4900 gil,,4900.0,1367666
Carwen Barrel Antidote,8000 gil,,8000.0,1367666
Carwen Box Ice Rod,Bard's Surplice,,500.0,1367666
Carwen Pot 1000,Diamond Helm,,3500.0,1367666
North Mountain Chest Soft,100 gil,,100.0,1367666
North Mountain Chest Phoenix Down,Dimen Ability Progressive,,0.0,1367666
Walse Town Pot Glasses,Chicken Knife,,12500.0,1367666
Tycoon Castle Pot Hi-Potion,Hero Drink,,55.0,1367666
Tycoon Castle Pot Ether,Dance,,0.0,1367666
Tycoon Castle Barrel Elixir,9000 gil,,9000.0,1367666
Tycoon Castle Barrel Phoenix Down,Phoenix Down,,500.0,1367666
Tycoon Castle Barrel Cabin,Tiger Mask,,2500.0,1367666
Tycoon Castle Pot Elixir,Venom->Drain->Break Sword,,0.0,1367666
Tycoon Castle Pot Phoenix Down,Cursed Ring,,2500.0,1367666
Tycoon Castle Pot Maiden's Kiss,8000 gil,,8000.0,1367666
Tycoon Castle Chest Shuriken,Barrier,,0.0,1367666
Tycoon Castle Chest Giyaman,TurtleShell,,75.0,1367666
Tycoon Castle Chest Katana,Pray,,0.0,1367666
Walse Castle Chest Elf Cape,Gauntlets,,1500.0,1367666
Walse Castle Pot 1000,Catch,,0.0,1367666
Walse Castle Pot Drag,Chocob->Titan->Golem->Odin,,0.0,1367666
Walse Castle Box 490,Earth Hammer,,6400.0,1367666
Walse Castle Barrel Tent,Mimic,,0.0,1367666
Walse Castle Barrel Phoenix Down,Mythril Spear,,395.0,1367666
Walse Tower Chest Silk robe,Shuriken,,1250.0,1367666
