check,value
12 Kuzar Events Apollo's Harp,2.0
12 Kuzar Events Flame Whip,2.0
12 Kuzar Events Holy Lance,3.0
12 Kuzar Events Wizard Rod,2.0
12 Kuzar Events Yoichi Bow,2.0
"8 potions, Pirate after Torna Canal Key acquired Potion",3.0
Abductor New,4.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,4.0
Atmos New,4.0
Bahamut Bahmut,2.0
Bahamut New,4.0
Bal Castle Chest Angel Gwn,2.0
Bal Castle Chest Exit,2.0
Bal Castle Chest Hero Drink,5.0
Barrier Tower Chest 18000,4.0
Barrier Tower Chest 9000,2.0
Barrier Tower Chest Drain Sword,4.0
Barrier Tower Chest Gold Hairpin,1.0
Beginner's House Chest 100,3.0
Beginner's House Chest Leather Shoes,2.0
Beginner's House Chest Phoenix Down,3.0
Beginner's House Chest Tent,2.0
Black Choco Crystals Bard,4.0
Brave Blade Brave Blade,4.0
Carbunkle New,4.0
Carwen Pot 1000,1.0
Chancellor at Tycoon Healing Staff,2.0
Chicken Knife Chicken Knife,3.0
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,2.0
Earth Crystal Chemist,2.0
Exdeath's Castle Chest 8000,1.0
Exdeath's Castle Chest DblLance,3.0
Exdeath's Castle Chest Diamond Shield,2.0
Exdeath's Castle Chest Elixir,3.0
Exdeath's Castle Chest Ether,1.0
Exdeath's Castle Chest Kotetsu,4.0
Fire Crystal Geomancer,4.0
Fire Crystal Mediator,4.0
Fire Crystal Ninja,2.0
Flying Lonka Ruins Chest Ancient Sword,3.0
Flying Lonka Ruins Chest Cabin,2.0
Flying Lonka Ruins Chest Elixir,2.0
Flying Lonka Ruins Chest Ether,1.0
Flying Lonka Ruins Chest Phoenix Down,1.0
Fork Tower R. Chest Defender Sword,2.0
Fork Tower R. Chest Hi-Potion,2.0
"Fork Tower, two Magics Flare",4.0
Gilgamesh 2 New,4.0
Great Trench Chest DragonFang,1.0
Great Trench Chest Flame Ring,1.0
Great Trench Chest Kaiser Knuckles,3.0
Great Trench Chest Water Scroll,2.0
Hero Song from Crescent Town Hero,3.0
Hiryuu Valley Chest 5000,2.0
HiryuuPlant New,4.0
Ifrit Ifrit,4.0
Ifrit New,4.0
Istory Falls Chest 12000,1.0
Istory Falls Chest Artemis Bow,1.0
Istory Falls Chest Enhancer,2.0
Istory Falls Chest Ether,2.0
Istory Falls Chest Giant Drink,2.0
Istory Falls Chest Phoenix Down,2.0
Istory Falls Chest Pinwheel,1.0
Istory Falls Chest RuneEdge,2.0
Istory Falls Chest Wall Ring,3.0
Karlabos New,4.0
Karnak Castle Chest Elf Cape,1.0
Karnak Castle Chest Elixir,3.0
Karnak Castle Chest Guardian,3.0
Karnak Castle Chest Gungnir,3.0
Karnak Castle Chest Ribbon,2.0
Karnak Castle Chest Shuriken,4.0
Karnak Castle Chest Thunder Scroll,1.0
Karnak Town Barrel Fire Rod,2.0
Leviathan Esper Levia,3.0
Leviathan New,4.0
Life (or Strength) Song from Crescent Town bard Vitality,1.0
LiquiFlame New,4.0
Lone Wolf Barrel Cabin,1.0
Lone Wolf Chest Thunder Whip,2.0
Magisa & Forza Mythril Helm,2.0
Meteo Meteo,2.0
Moat Item Epee,4.0
Moogle Cave Chest 4400,4.0
Moogle Cave Chest Phoenix Down,2.0
Moogle Village Chest 10000,3.0
Moogle Village Chest Cabin,2.0
Moogle Village Chest Elf Cape,2.0
Moogle Village Chest Ether,3.0
Mua Forest Chest 2500,3.0
Mua Forest Chest Elixir,1.0
Mua Forest Chest Flametongue,3.0
Mua Forest Chest Morning Star,3.0
Mua Forest Chest Phoenix Down,2.0
Mua Forest Chest Soot,2.0
Omniscient New,4.0
Phoenix Phenix,1.0
Phoenix Tower Pot 15000,2.0
Phoenix Tower Pot 20000,2.0
Phoenix Tower Pot 5000,4.0
Phoenix Tower Pot Avis Killer,3.0
Phoenix Tower Pot Phoenix Down,1.0
Power Song from Crescent Town Power,4.0
Puroboros New,4.0
Pyramid Chest 10000,4.0
Pyramid Chest 12000,0.0
Pyramid Chest Black Robe,3.0
Pyramid Chest Cabin,3.0
Pyramid Chest Crystal Armor,2.0
Pyramid Chest Cursed Ring,2.5
Pyramid Chest DarkMatter,2.0
Pyramid Chest DarkSuit,4.0
Pyramid Chest Earth Hammer,1.0
Pyramid Chest Elixir,3.0
Pyramid Chest Flame Shield,1.0
Pyramid Chest Gold Hairpin,0.0
Pyramid Chest Guard Ring,3.0
Pyramid Chest Ice Shield,2.0
Pyramid Chest Ribbon,3.0
Pyramid Chest Thornlet,4.0
Pyramid Chest White Robe,0.0
Rift (Castle) Chest Thor Hammer,4.0
Rift (Cave) Chest Coral Ring,3.0
Rift (Forest) Chest DragonFang,3.0
Rift (Ruins) Chest DarkMatter,3.0
Rift (Ruins) Chest Elixir,2.0
Ruined City Chest Size,3.0
Ship Graveyard Chest Antidote,2.0
Ship Graveyard Chest Phoenix Down,1.0
Ship Graveyard Chest Potion,3.0
Shiva New,4.0
