boss,key,seed
Byblos,Trench Page,849039
Siren,Elder Branch,849039
Magisa & Forza,Bracelet,849039
Galura,Adamantite,849039
Sergeant & DeathClaw,Sandworm Bait,849039
Sandworm,Shrine Page,849039
Sol Cannon,Pyramid Page,849039
ArchaeAvis,Anti Barrier,849039
Titan,Hiryuu Call,849039
Tyrasaurus,Walse Tower Key,849039
Gilgamesh 3 & Enkidou,Steamship Key,849039
Guardians,1st Tablet,849039
Gilgamesh 4,Canal Key,849039
Antlion,Falls Page,849039
Merugene,Moogle Suit,849039
Odin,2nd Tablet,849039
Minotauros,4th Tablet,849039
Stalker,Submarine Key,849039
GoGo,3rd Tablet,849039
Crayclaw,Ifrit's Fire,849039
