shop_name,value
Bal/Kelb Armor,2.0
Bal/Kelb Weapon,2.1666666666666665
Carwen Armor,2.6666666666666665
Carwen Inn,2.25
Carwen Magic,2.0
Carwen Weapon,1.5
Common World 1 Inn,1.3333333333333333
Common World 2 Inn 1,2.875
Common World 2 Inn 2,2.75
Common World 2 Magic 1,2.25
Common World 2 Magic 2,2.3333333333333335
Common World 2 Magic 3,1.5714285714285714
Crescent Armor,2.0
Crescent Weapon,2.0
Dwarf Armor,2.5
Dwarf Magic,1.4285714285714286
Dwarf Weapon,1.6666666666666667
Istory Relic,3.0
Jacole Armor,2.0
Jacole Weapon,2.625
Karnak Armor,2.25
Karnak Magic 1,2.0
Karnak Magic 2,1.75
Karnak Magic 3,2.0
Karnak Weapon 1,2.0
Karnak Weapon 2,2.142857142857143
Kelb Armor,1.875
Kelb Weapon,2.0
Lix Armor,2.0
Lix Guild,2.0
Lix Inn,2.1666666666666665
Lix Magic,1.875
Mirage Armor,2.8333333333333335
Mirage Guild,1.8333333333333333
Mirage Inn 1,2.25
Mirage Inn 2,2.2
Mirage Magic 1,2.4
Mirage Magic 2,2.4
Mirage Relic,2.4
Mirage Weapon,1.3333333333333333
Mua Armor,2.75
Mua Magic 1,1.75
Mua Magic 2,2.0
Mua Magic 3,2.25
Mua Weapon,2.0
Rugor Armor,2.0
Rugor Weapon,2.142857142857143
Surgate Armor,2.0
Surgate Weapon,2.25
Tule Armor,1.6666666666666667
Tule Inn,1.3333333333333333
Tule Magic,2.375
Tule Weapon,2.2
Worus Armor,2.0
Worus Magic,2.2857142857142856
Worus Weapon,2.0
