boss,key,seed
Siren,Pyramid Page,7599490
Sergeant & DeathClaw,Elder Branch,7599490
Sandworm,1st Tablet,7599490
ArchaeAvis,Steamship Key,7599490
Chim.Brain,4th Tablet,7599490
Titan,2nd Tablet,7599490
Gilgamesh 1,Shrine Page,7599490
Tyrasaurus,Anti Barrier,7599490
Gilgamesh 3 & Enkidou,Big Bridge Key,7599490
Atmos,Sandworm Bait,7599490
Guardians,Walse Tower Key,7599490
Gilgamesh 4,Trench Page,7599490
Antlion,Submarine Key,7599490
Odin,Falls Page,7599490
"Triton, Neregeid & Phobos",Hiryuu Call,7599490
Omniscient,3rd Tablet,7599490
Stalker,Bracelet,7599490
GoGo,Canal Key,7599490
Bahamut,Ifrit's Fire,7599490
Crayclaw,Moogle Suit,7599490
