boss,key,seed
Byblos,Submarine Key,9678878
WingRaptor,Walse Tower Key,9678878
LiquiFlame,Hiryuu Call,9678878
Sandworm,Canal Key,9678878
AdamanTiMi,3rd Tablet,9678878
Sol Cannon,Bracelet,9678878
ArchaeAvis,Pyramid Page,9678878
Titan,Anti Barrier,9678878
Gilgamesh 2,Elder Branch,9678878
Atmos,Sandworm Bait,9678878
Guardians,1st Tablet,9678878
Gilgamesh 4,Ifrit's Fire,9678878
Odin,Big Bridge Key,9678878
"Triton, Neregeid & Phobos",4th Tablet,9678878
Leviathan,Shrine Page,9678878
Stalker,Moogle Suit,9678878
Bahamut,2nd Tablet,9678878
Ifrit,Falls Page,9678878
Shiva,Steamship Key,9678878
Crayclaw,Trench Page,9678878
WingRaptor,Bracelet,5846407
Karlabos,Moogle Suit,5846407
Siren,Sandworm Bait,5846407
Magisa & Forza,1st Tablet,5846407
Galura,Steamship Key,5846407
LiquiFlame,Ifrit's Fire,5846407
Sergeant & DeathClaw,2nd Tablet,5846407
Chim.Brain,Shrine Page,5846407
Puroboros,Falls Page,5846407
Gilgamesh 1,Canal Key,5846407
Tyrasaurus,4th Tablet,5846407
Abductor,Submarine Key,5846407
Guardians,Walse Tower Key,5846407
Carbunkle,3rd Tablet,5846407
Merugene,Anti Barrier,5846407
Odin,Adamantite,5846407
Omniscient,Pyramid Page,5846407
Minotauros,Hiryuu Call,5846407
Bahamut,Big Bridge Key,5846407
Shiva,Elder Branch,5846407
Byblos,Sandworm Bait,2991773
Karlabos,Ifrit's Fire,2991773
Magisa & Forza,2nd Tablet,2991773
Galura,Submarine Key,2991773
LiquiFlame,Pyramid Page,2991773
AdamanTiMi,1st Tablet,2991773
Sol Cannon,Falls Page,2991773
Chim.Brain,Walse Tower Key,2991773
Puroboros,4th Tablet,2991773
Gilgamesh 1,Shrine Page,2991773
Gilgamesh 2,Trench Page,2991773
Tyrasaurus,3rd Tablet,2991773
Guardians,Bracelet,2991773
Odin,Anti Barrier,2991773
"Triton, Neregeid & Phobos",Steamship Key,2991773
Minotauros,Adamantite,2991773
GoGo,Big Bridge Key,2991773
Bahamut,Moogle Suit,2991773
Ifrit,Hiryuu Call,2991773
Crayclaw,Elder Branch,2991773
