crystal,seed
BlueMage,9678878
Hunter,9678878
Mimic,9678878
Berserker,9678878
TimeMage,9678878
Samurai,9678878
Mediator,9678878
Knight,9678878
WhiteMage,9678878
Ninja,9678878
Bard,9678878
Geomancer,9678878
Dragoon,9678878
BlackMage,9678878
Dancer,9678878
RedMage,9678878
Summoner,9678878
Chemist,9678878
MysticKnight,9678878
Thief,9678878
Freelancer,9678878
Mediator,5846407
BlackMage,5846407
Monk,5846407
RedMage,5846407
Bard,5846407
Knight,5846407
Dragoon,5846407
WhiteMage,5846407
MysticKnight,5846407
TimeMage,5846407
Mimic,5846407
Hunter,5846407
Dancer,5846407
Knight,2991773
Ninja,2991773
Bard,2991773
BlueMage,2991773
Samurai,2991773
RedMage,2991773
Mediator,2991773
BlackMage,2991773
Summoner,2991773
Berserker,2991773
Dragoon,2991773
Hunter,2991773
