check,reward,mib,reward_value,seed
Wind Crystal Knight,Gungnir,,4050.0,9678878
Wind Crystal BlueMage,Bard Job Crystal,,0.0,9678878
Wind Crystal BlackMage,Mythril Hammer,,525.0,9678878
Wind Crystal WhiteMage,Killer Bow,,2500.0,9678878
Wind Crystal Monk,Silver Plate,,300.0,9678878
Wind Crystal Thief,HP +X%,,0.0,9678878
Fire Crystal Mediator,Partisan,,5100.0,9678878
Fire Crystal Geomancer,Air Blade,,50.0,9678878
Fire Crystal Ninja,Comet->Meteo,,0.0,9678878
Black Choco Crystals Bard,Coral Sword,,1400.0,9678878
Black Choco Crystals Hunter,Golem,,0.0,9678878
Earth Crystal Samurai,Thornlet,,10000.0,9678878
Earth Crystal Dragoon,Remora->Shoat->Levia,,0.0,9678878
Earth Crystal Chemist,Rod,,100.0,9678878
Earth Crystal Dancer,Healing Staff,,450.0,9678878
Leviathan Esper Levia,GbnPnch->Emision->Missle->Blwfsh,,0.0,9678878
Titan Titan,L4Qrter->L3Flare->L2Old->L5Doom,,0.0,9678878
Carbuncle Crbnkl,BlackMage Job Crystal,,0.0,9678878
Syldra Syldra,Kotetsu,,5900.0,9678878
Odin Odin,FrogSong->TinySong->MoonFlut,,0.0,9678878
Phoenix Phenix,Bronze Helm,,125.0,9678878
Bahamut Bahmut,Fire Sword Magic Progressive,,0.0,9678878
Life (or Strength) Song from Crescent Town bard Vitality,DarkHood,,3250.0,9678878
Temptation Song at Lix Charm,Drink,,0.0,9678878
Love Song at Istory Love,Iron Armor,,250.0,9678878
Requiem Song at Kelb Requiem,Dimen Ability Progressive,,0.0,9678878
Speed Song at Surgate Speed,Antdt->Image->Heal,,0.0,9678878
Magic Song at Ancient Library Magic,Glasses,,125.0,9678878
Power Song from Crescent Town Power,Bard's Surplice,,500.0,9678878
Hero Song from Crescent Town Hero,Mimic Job Crystal,,0.0,9678878
"Fork Tower, two Magics Holy",Genji Gloves,,7500.0,9678878
"Fork Tower, two Magics Flare",Equip Spears,,0.0,9678878
Meteo Meteo,Venom->Drain->Break,,0.0,9678878
"5 potions in Wind Shrine, bottom left guy Potion",Fire Black Magic Progressive,,0.0,9678878
"8 potions, Pirate after Torna Canal Key acquired Potion",Chicken Knife,,12500.0,9678878
Chancellor at Tycoon Healing Staff,Healing Staff,,450.0,9678878
Magisa & Forza Mythril Helm,Drain Sword,,8000.0,9678878
CornaJar at Kelb CornaJar,Slumber Sword,,2800.0,9678878
Ribbon from girl in Rugor Ribbon,DarkSuit,,4500.0,9678878
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Dancing Dagger,,2900.0,9678878
12 Kuzar Events Assassin,Guard Ring,,15000.0,9678878
12 Kuzar Events Apollo's Harp,Counter,,0.0,9678878
12 Kuzar Events Excalibur,Silver Bow,,750.0,9678878
12 Kuzar Events Flame Whip,Air Blade,,50.0,9678878
12 Kuzar Events Earth Bell,Shiva->Ramuh->Ifrit->Bahmut,,0.0,9678878
12 Kuzar Events Holy Lance,Epee Sword,,4200.0,9678878
12 Kuzar Events Masamune,Black Ability Progressive,,0.0,9678878
12 Kuzar Events Wizard Rod,Samurai Job Crystal,,0.0,9678878
12 Kuzar Events Rune Axe,Ice Black Magic Progressive,,0.0,9678878
12 Kuzar Events Sage's Staff,CornaJar,,5000.0,9678878
12 Kuzar Events Sasuke,Venom->Drain->Break,,0.0,9678878
12 Kuzar Events Yoichi Bow,Assassin,,10000.0,9678878
Shiva Shiva,Aegis Shield,,2250.0,9678878
Ifrit Ifrit,Diamond Armlet,,2000.0,9678878
Water Crystal Samurai,Running Shoes,,25000.0,9678878
