check,value
12 Kuzar Events Apollo's Harp,2.5
12 Kuzar Events Assassin,1.6666666666666667
12 Kuzar Events Earth Bell,3.0
12 Kuzar Events Excalibur,3.0
12 Kuzar Events Flame Whip,2.5
12 Kuzar Events Holy Lance,3.0
12 Kuzar Events Masamune,1.0
12 Kuzar Events Rune Axe,4.0
12 Kuzar Events Sage's Staff,3.5
12 Kuzar Events Sasuke,0.0
12 Kuzar Events Wizard Rod,3.0
12 Kuzar Events Yoichi Bow,2.3333333333333335
"5 potions in Wind Shrine, bottom left guy Potion",2.5
"8 potions, Pirate after Torna Canal Key acquired Potion",3.0
Abductor New,4.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,3.0
Ancient Library Chest Stealth Suit,3.0
Antlion New,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,1.0
Bal Castle Chest Angel Gwn,2.0
Bal Castle Chest Exit,3.0
Bal Castle Chest Hero Drink,2.0
Barrier Tower Chest 18000,2.0
Barrier Tower Chest 9000,2.0
Barrier Tower Chest Drain Sword,2.6666666666666665
Barrier Tower Chest Gold Hairpin,1.6666666666666667
Beginner's House Chest 100,2.5
Beginner's House Chest Ether,2.0
Beginner's House Chest Leather Shoes,3.0
Beginner's House Chest Phoenix Down,4.0
Beginner's House Chest Potion,3.0
Beginner's House Chest Tent,3.0
Black Choco Crystals Bard,2.5
Black Choco Crystals Hunter,2.3333333333333335
Brave Blade Brave Blade,2.5
Byblos New,4.0
Carbuncle Crbnkl,2.5
Carbunkle New,4.0
Carwen Barrel Antidote,2.0
Carwen Pot 1000,0.0
Chancellor at Tycoon Healing Staff,1.6666666666666667
Chicken Knife Chicken Knife,2.5
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,2.3333333333333335
Crayclaw New,4.0
Earth Crystal Chemist,1.0
Earth Crystal Dancer,1.3333333333333333
Earth Crystal Dragoon,4.0
Earth Crystal Samurai,3.0
Exdeath's Castle Chest 8000,3.3333333333333335
Exdeath's Castle Chest 9900,1.5
Exdeath's Castle Chest DblLance,2.0
Exdeath's Castle Chest Diamond Shield,4.0
Exdeath's Castle Chest Ether,4.0
Exdeath's Castle Chest Gale Bow,1.0
Exdeath's Castle Chest Ice Shield,3.5
Exdeath's Castle Chest IceBrand,2.6666666666666665
Exdeath's Castle Chest Partisan,3.5
Exdeath's Castle Chest Pinwheel,2.5
Fire Crystal Geomancer,2.0
Fire Crystal Mediator,3.0
Flying Lonka Ruins Chest 5000,2.5
Flying Lonka Ruins Chest Ancient Sword,3.0
Flying Lonka Ruins Chest Cabin,3.0
Flying Lonka Ruins Chest Elixir,2.0
Flying Lonka Ruins Chest Ether,2.0
Flying Lonka Ruins Chest Full Moon,2.5
Flying Lonka Ruins Chest Golden Armor,3.0
Flying Lonka Ruins Chest Golden Shield,3.0
Flying Lonka Ruins Chest Hi-Potion,1.5
Flying Lonka Ruins Chest Phoenix Down,2.0
Flying Lonka Ruins Chest Power Wrist,2.0
Flying Lonka Ruins Chest Shuriken,2.0
Fork Tower R. Chest Defender Sword,2.0
Fork Tower R. Chest Hi-Potion,2.0
"Fork Tower, two Magics Flare",3.5
"Fork Tower, two Magics Holy",3.5
Galura New,4.0
Gilgamesh 1 New,4.0
Gilgamesh 2 New,4.0
Gilgamesh 3 & Enkidou New,4.0
Gilgamesh 4 New,4.0
GoGo New,4.0
Great Trench Chest Ether,3.0
Great Trench Chest Flame Ring,2.0
Great Trench Chest Kaiser Knuckles,2.0
Great Trench Chest Phoenix Down,4.0
Great Trench Chest Water Scroll,2.3333333333333335
Hero Song from Crescent Town Hero,2.0
Hiryuu Valley Chest 5000,3.0
Hiryuu Valley Chest 7000,2.0
