shop_name,value
Bal/Kelb Armor,1.75
Bal/Kelb Weapon,2.0
Carwen Armor,2.0
Carwen Inn,2.25
Carwen Magic,2.625
Carwen Weapon,2.0
Common World 1 Inn,2.5
Common World 2 Inn 1,2.75
Common World 2 Inn 2,2.375
Common World 2 Magic 1,1.8571428571428572
Common World 2 Magic 2,2.0
Common World 2 Magic 3,2.0
Crescent Armor,1.375
Crescent Weapon,1.8571428571428572
Dwarf Armor,2.25
Dwarf Magic,2.25
Dwarf Weapon,2.2
Istory Relic,1.3333333333333333
Jacole Armor,2.2
Jacole Weapon,2.25
Karnak Armor,2.0
Karnak Magic 1,2.5
Karnak Magic 2,2.0
Karnak Magic 3,2.0
Karnak Weapon 1,2.25
Karnak Weapon 2,1.75
Kelb Armor,2.0
Kelb Weapon,2.375
Lix Armor,2.0
Lix Guild,2.0
Lix Inn,2.0
Lix Magic,2.0
Mirage Armor,2.25
Mirage Guild,1.75
Mirage Inn 1,2.625
Mirage Inn 2,2.2222222222222223
Mirage Magic 1,1.875
Mirage Magic 2,1.5
Mirage Relic,2.0
Mirage Weapon,2.0
Mua Armor,2.0
Mua Magic 1,2.3333333333333335
Mua Magic 2,2.0
Mua Magic 3,2.0
Mua Weapon,2.0
Rugor Armor,1.0
Rugor Weapon,2.125
Surgate Armor,2.2222222222222223
Surgate Weapon,2.0
Tule Armor,2.0
Tule Inn,2.0
Tule Magic,2.111111111111111
Tule Weapon,3.0
Worus Armor,2.1666666666666665
Worus Magic,2.375
Worus Weapon,1.75
