boss,key,seed
Byblos,Shrine Page,1237331
WingRaptor,Pyramid Page,1237331
LiquiFlame,2nd Tablet,1237331
Sergeant & DeathClaw,Trench Page,1237331
Sol Cannon,Submarine Key,1237331
Chim.Brain,Bracelet,1237331
Puroboros,Sandworm Bait,1237331
Gilgamesh 1,Canal Key,1237331
Gilgamesh 2,Steamship Key,1237331
Tyrasaurus,Hiryuu Call,1237331
HiryuuPlant,Elder Branch,1237331
Carbunkle,1st Tablet,1237331
Gilgamesh 4,3rd Tablet,1237331
Merugene,Anti Barrier,1237331
Odin,Adamantite,1237331
Minotauros,Falls Page,1237331
Leviathan,4th Tablet,1237331
Stalker,Walse Tower Key,1237331
GoGo,Moogle Suit,1237331
Shiva,Big Bridge Key,1237331
