check,value
12 Kuzar Events Assassin,2.0
12 Kuzar Events Earth Bell,2.0
12 Kuzar Events Excalibur,2.0
12 Kuzar Events Flame Whip,2.0
12 Kuzar Events Holy Lance,2.0
12 Kuzar Events Masamune,3.0
12 Kuzar Events Rune Axe,2.0
12 Kuzar Events Sasuke,2.0
12 Kuzar Events Wizard Rod,3.0
12 Kuzar Events Yoichi Bow,2.0
Abductor New,4.0
AdamanTiMi New,4.0
Ancient Library Chest Phoenix Down,3.0
Ancient Library Chest Stealth Suit,3.0
Antlion New,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,2.0
Bahamut New,4.0
Bal Castle Chest Exit,3.0
Barrier Tower Chest 18000,3.0
Barrier Tower Chest 9000,1.0
Barrier Tower Chest Drain Sword,4.0
Barrier Tower Chest Gold Hairpin,2.0
Beginner's House Chest Leather Shoes,4.0
Brave Blade Brave Blade,3.0
Carbuncle Crbnkl,3.0
Chicken Knife Chicken Knife,3.0
Crayclaw New,4.0
Earth Crystal Chemist,2.0
Earth Crystal Dancer,2.0
Earth Crystal Dragoon,3.0
Earth Crystal Samurai,3.0
Exdeath's Castle Chest 8000,2.0
Exdeath's Castle Chest Diamond Shield,4.0
Exdeath's Castle Chest Elixir,3.0
Exdeath's Castle Chest Ether,3.0
Exdeath's Castle Chest Partisan,3.0
Exdeath's Castle Chest Pinwheel,4.0
Fire Crystal Geomancer,4.0
Fire Crystal Mediator,3.0
Fire Crystal Ninja,0.0
Flying Lonka Ruins Chest 5000,2.0
Flying Lonka Ruins Chest Ancient Sword,2.0
Flying Lonka Ruins Chest Ether,4.0
Flying Lonka Ruins Chest Full Moon,2.0
Flying Lonka Ruins Chest Shuriken,2.0
Fork Tower L. Chest Ether,2.0
Fork Tower L. Chest Wonder Wand,2.0
Fork Tower R. Chest Defender Sword,3.0
Fork Tower R. Chest Hi-Potion,2.0
"Fork Tower, two Magics Flare",1.0
"Fork Tower, two Magics Holy",2.0
Galura New,4.0
Gilgamesh 3 & Enkidou New,4.0
Great Trench Chest Ether,4.0
Great Trench Chest Phoenix Down,4.0
Guardians New,4.0
Hero Song from Crescent Town Hero,1.0
Hiryuu Valley Chest 5000,3.0
Hiryuu Valley Chest 7000,1.0
Hiryuu Valley Chest Cabin,3.0
Hiryuu Valley Chest Coronet,3.0
Hiryuu Valley Skull Bone Mail,2.0
Ifrit New,4.0
Istory Falls Chest 12000,4.0
Istory Falls Chest Air Lance,2.0
Istory Falls Chest Artemis Bow,4.0
Istory Falls Chest Enhancer,3.0
Istory Falls Chest Giant Drink,2.0
Istory Falls Chest Phoenix Down,2.0
Istory Falls Chest RuneEdge,5.0
Istory Falls Chest TurtleShell,2.0
Istory Falls Chest Wall Ring,1.0
Jacole Cave Chest Tent,3.0
Karlabos New,4.0
Karnak Castle Chest 2000,3.0
Karnak Castle Chest Elf Cape,3.0
