boss,key,seed
Byblos,Anti Barrier,830755
WingRaptor,Walse Tower Key,830755
Siren,Submarine Key,830755
Galura,1st Tablet,830755
LiquiFlame,Adamantite,830755
Sergeant & DeathClaw,Pyramid Page,830755
ArchaeAvis,3rd Tablet,830755
Chim.Brain,Shrine Page,830755
Puroboros,Big Bridge Key,830755
Titan,2nd Tablet,830755
Gilgamesh 1,Falls Page,830755
Gilgamesh 2,Ifrit's Fire,830755
Tyrasaurus,Bracelet,830755
Gilgamesh 3 & Enkidou,Steamship Key,830755
Gilgamesh 4,Canal Key,830755
Antlion,Moogle Suit,830755
Odin,Trench Page,830755
Minotauros,4th Tablet,830755
Bahamut,Sandworm Bait,830755
Crayclaw,Elder Branch,830755
