check,reward,mib,reward_value,seed
Wind Crystal Knight,Earth Bell,,4500,830755
Wind Crystal BlueMage,Tent,,125,830755
Wind Crystal BlackMage,Ice Bow,,1250,830755
Wind Crystal WhiteMage,Hero Drink,,55,830755
Wind Crystal Monk,Shuriken,,1250,830755
Wind Crystal Thief,FrogSong->TinySong->MoonFlut,,0,830755
Fire Crystal Mediator,Mantra,,0,830755
Fire Crystal Geomancer,Murasume,,10000,830755
Fire Crystal Ninja,Knife,,75,830755
Black Choco Crystals Bard,Cure White Magic Progressive,,0,830755
Black Choco Crystals Hunter,Charm->Hero@Song,,0,830755
Earth Crystal Samurai,Sleep->Bio->Flare Sword,,0,830755
Earth Crystal Dragoon,Venom->Drain->Break Sword,,0,830755
Earth Crystal Chemist,Speed Drink,,55,830755
Earth Crystal Dancer,Sylph->Crbnkl->Phenix->Syldra,,0,830755
Leviathan Esper Levia,Dimen Ability Progressive,,0,830755
Titan Titan,Venom Axe,,4800,830755
Carbuncle Crbnkl,Power Staff,,900,830755
Syldra Syldra,Morning Star,,3900,830755
Odin Odin,Ice Rod,,375,830755
Phoenix Phenix,Potion,,20,830755
Bahamut Bahmut,MP +X%,,0,830755
Life (or Strength) Song from Crescent Town bard Vitality,Dimen Ability Progressive,,0,830755
Temptation Song at Lix Charm,Leather Armor,,40,830755
Love Song at Istory Love,Eyedrop,,10,830755
Requiem Song at Kelb Requiem,Regen->Float->Reset->Xzone,,0,830755
Speed Song at Surgate Speed,Cotton Robe,,150,830755
Magic Song at Ancient Library Magic,DarkHood,,3250,830755
Power Song from Crescent Town Power,Venom->Drain->Break Sword,,0,830755
Hero Song from Crescent Town Hero,FrogSong->TinySong->MoonFlut,,0,830755
"Fork Tower, two Magics Holy",DoomCut,,2950,830755
"Fork Tower, two Magics Flare",Sylph->Crbnkl->Phenix->Syldra,,0,830755
Meteo Meteo,Red1->Red2->Red3->X-Magic,,0,830755
"5 potions in Wind Shrine, bottom left guy Potion",Fire Sword Magic Progressive,,0,830755
"8 potions, Pirate after Torna Canal Key acquired Potion",Regen->Float->Reset->Xzone,,0,830755
Chancellor at Tycoon Healing Staff,Counter,,0,830755
Magisa & Forza Mythril Helm,Ninja Job Crystal,,0,830755
CornaJar at Kelb CornaJar,Regen->Float->Reset->Xzone,,0,830755
Ribbon from girl in Rugor Ribbon,Dimen Ability Progressive,,0,830755
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Tent,,125,830755
12 Kuzar Events Assassin,Rod,,100,830755
12 Kuzar Events Apollo's Harp,RisingSun,,5500,830755
12 Kuzar Events Excalibur,Bolt Sword Magic Progressive,,0,830755
12 Kuzar Events Flame Whip,DrgnCrest,,0,830755
12 Kuzar Events Earth Bell,Artemis Bow,,15000,830755
12 Kuzar Events Holy Lance,Maiden's Kiss,,30,830755
12 Kuzar Events Masamune,Dimen Ability Progressive,,0,830755
12 Kuzar Events Wizard Rod,Bolt Black Magic Progressive,,0,830755
12 Kuzar Events Rune Axe,Black Ability Progressive,,0,830755
12 Kuzar Events Sage's Staff,White Ability Progressive,,0,830755
12 Kuzar Events Sasuke,Leather Cap,,25,830755
12 Kuzar Events Yoichi Bow,Charm->Hero@Song,,0,830755
Shiva Shiva,Equip Rods,,0,830755
Ifrit Ifrit,RisingSun,,5500,830755
Water Crystal Samurai,AntiMagic Bow,,5000,830755
Water Crystal Berserker,Power->Vitality Song,,0,830755
Water Crystal MysticKnight,Guard Ring,,15000,830755
Water Crystal TimeMage,Equip Swords,,0,830755
Water Crystal Summoner,Excailbur,,5000,830755
Brave Blade Brave Blade,Brave Blade,,15000,830755
Chicken Knife Chicken Knife,Aero Blue Magic Progressive,,0,830755
Tycoon Castle Cabin Cabin,DarkMatter,,25000,830755
Walse Tower Chest GoGo,Aero Blue Magic Progressive,,0,830755
Pyramid Top Pyramid Tablet,Golden Helm,,1750,830755
Toad Event Toad,Venom Rod,,750,830755
Aegis Shield Chest Aegis Shield,Power Drink,,55,830755
Lone Wolf Barrel Cabin,Void->Demi->Qrter->Old,,0,830755
Lone Wolf Chest Thunder Whip,Thunder Whip,,1100,830755
Moat Item Epee,Antdt->Image->Heal,,0,830755
Shop Backdoor Lamia Harp,White Robe,,4000,830755
Top of the Falls Magic Lamp,Mute->Psych->Holy Sword,,0,830755
Wind Shrine Chest Broadsword,War Hammer,,3200,830755
Beginner's House Chest Ether,Earth Hammer,,6400,830755
Beginner's House Chest 100,Wonder Wand,MIB,5000,830755
Beginner's House Chest Potion,Condemn->Roulette->AquaRake,,0,830755
