shop_name,shop_type,item,seed
Tule Weapon,07,MgcSwrd Lv.7,830755
Tule Weapon,07,Dbl Grip,830755
Tule Weapon,07,Equip Ribbon,830755
Tule Weapon,07,None,830755
Tule Weapon,07,None,830755
Tule Weapon,07,None,830755
Tule Weapon,07,None,830755
Tule Weapon,07,None,830755
Tule Armor,01,Speed Drink,830755
Tule Armor,01,Gungnir,830755
Tule Armor,01,Tiger Mask,830755
Tule Armor,01,Mythril Helm,830755
Tule Armor,01,Ether,830755
Tule Armor,01,Maiden's Kiss,830755
Tule Armor,01,None,830755
Tule Armor,01,None,830755
Tule Inn,01,CornaJar,830755
Tule Inn,01,Gale Bow,830755
Tule Inn,01,Giant's Axe,830755
Tule Inn,01,Enhancer,830755
Tule Inn,01,Ether,830755
Tule Inn,01,None,830755
Tule Inn,01,None,830755
Tule Inn,01,None,830755
Tule Magic,00,Fire,830755
Tule Magic,00,Old,830755
Tule Magic,00,Sleep,830755
Tule Magic,00,Speed,830755
Tule Magic,00,Blowfish,830755
Tule Magic,00,None,830755
Tule Magic,00,None,830755
Tule Magic,00,None,830755
Carwen Weapon,07,Conjure,830755
Carwen Weapon,07,Summon Lv.3,830755
Carwen Weapon,07,Jump,830755
Carwen Weapon,07,BlueMage,830755
Carwen Weapon,07,None,830755
Carwen Weapon,07,None,830755
Carwen Weapon,07,None,830755
Carwen Weapon,07,None,830755
Carwen Armor,00,Slow2,830755
Carwen Armor,00,Bio,830755
Carwen Armor,00,Phenix,830755
Carwen Armor,00,Fire3,830755
Carwen Armor,00,Fire2,830755
Carwen Armor,00,None,830755
Carwen Armor,00,None,830755
Carwen Armor,00,None,830755
Carwen Inn,01,Stealth Suit,830755
Carwen Inn,01,Gold Hairpin,830755
Carwen Inn,01,Lamia's Harp,830755
Carwen Inn,01,TurtleShell,830755
Carwen Inn,01,Silk robe,830755
Carwen Inn,01,Lumina Robe,830755
Carwen Inn,01,Flametongue,830755
Carwen Inn,01,Diamond Armlet,830755
Carwen Magic,07,Equip Armors,830755
Carwen Magic,07,Hide,830755
Carwen Magic,07,MysticKnight,830755
Carwen Magic,07,Mimic,830755
Carwen Magic,07,None,830755
Carwen Magic,07,None,830755
Carwen Magic,07,None,830755
Carwen Magic,07,None,830755
Worus Weapon,01,Silver Bow,830755
Worus Weapon,01,Genji Helm,830755
Worus Weapon,01,Ribbon,830755
Worus Weapon,01,Coral Sword,830755
Worus Weapon,01,Phoenix Down,830755
Worus Weapon,01,None,830755
Worus Weapon,01,None,830755
Worus Weapon,01,None,830755
Worus Armor,01,Brave Blade,830755
Worus Armor,01,Flame Whip,830755
Worus Armor,01,Cursed Ring,830755
Worus Armor,01,Gaia Gear,830755
Worus Armor,01,Angel Gwn,830755
Worus Armor,01,Antidote,830755
Worus Armor,01,None,830755
Worus Armor,01,None,830755
Worus Magic,00,Bio,830755
Worus Magic,00,Odin,830755
Worus Magic,00,L3 Flare,830755
Worus Magic,00,Ice,830755
Worus Magic,00,Bolt2,830755
Worus Magic,00,None,830755
Worus Magic,00,None,830755
Worus Magic,00,None,830755
Karnak Weapon 1,07,Dimen Lv.3,830755
Karnak Weapon 1,07,TimeMage,830755
Karnak Weapon 1,07,White Lv.2,830755
Karnak Weapon 1,07,Capture,830755
Karnak Weapon 1,07,None,830755
Karnak Weapon 1,07,None,830755
Karnak Weapon 1,07,None,830755
Karnak Weapon 1,07,None,830755
Karnak Weapon 2,00,Emission,830755
Karnak Weapon 2,00,Shell,830755
Karnak Weapon 2,00,Cure2,830755
Karnak Weapon 2,00,None,830755
Karnak Weapon 2,00,None,830755
Karnak Weapon 2,00,None,830755
Karnak Weapon 2,00,None,830755
Karnak Weapon 2,00,None,830755
Karnak Armor,01,LuckMallet,830755
Karnak Armor,01,Mythril Hammer,830755
Karnak Armor,01,Guardian,830755
Karnak Armor,01,Thunder Rod,830755
Karnak Armor,01,Drain Sword,830755
Karnak Armor,01,Darkness Bow,830755
Karnak Armor,01,DoomCut,830755
Karnak Armor,01,Katana,830755
Common World 1 Inn,01,Silver Bow,830755
Common World 1 Inn,01,Coral Sword,830755
Common World 1 Inn,01,Partisan,830755
Common World 1 Inn,01,Iron Helm,830755
Common World 1 Inn,01,Elven Bow,830755
Common World 1 Inn,01,DoomCut,830755
Common World 1 Inn,01,Crystal Helm,830755
Common World 1 Inn,01,Maiden's Kiss,830755
Karnak Magic 1,00,L2 Old,830755
Karnak Magic 1,00,Fire3,830755
Karnak Magic 1,00,Cure,830755
Karnak Magic 1,00,Fire2,830755
Karnak Magic 1,00,Hammer,830755
Karnak Magic 1,00,None,830755
Karnak Magic 1,00,None,830755
Karnak Magic 1,00,None,830755
Karnak Magic 2,00,Size,830755
Karnak Magic 2,00,Shoat,830755
Karnak Magic 2,00,Haste,830755
Karnak Magic 2,00,Power,830755
Karnak Magic 2,00,Mute,830755
Karnak Magic 2,00,None,830755
Karnak Magic 2,00,None,830755
Karnak Magic 2,00,None,830755
Karnak Magic 3,01,DblLance,830755
Karnak Magic 3,01,Javelin,830755
Karnak Magic 3,01,Giyaman,830755
Karnak Magic 3,01,Dagger,830755
Karnak Magic 3,01,Bard's Surplice,830755
Karnak Magic 3,01,Air Lance,830755
Karnak Magic 3,01,TurtleShell,830755
Karnak Magic 3,01,Soft,830755
Crescent Weapon,00,Quick,830755
Crescent Weapon,00,Chocob,830755
