shop_name,value
Bal/Kelb Armor,2.05
Bal/Kelb Weapon,2.1538461538461537
Carwen Armor,2.1904761904761907
Carwen Inn,1.7
Carwen Magic,1.95
Carwen Weapon,2.0
Common World 1 Inn,2.066666666666667
Common World 2 Inn 1,2.4
Common World 2 Inn 2,2.375
Common World 2 Magic 1,1.9444444444444444
Common World 2 Magic 2,2.142857142857143
Common World 2 Magic 3,2.5833333333333335
Crescent Armor,2.375
Crescent Weapon,2.0
Dwarf Armor,2.1176470588235294
Dwarf Magic,1.9285714285714286
Dwarf Weapon,2.111111111111111
Istory Relic,2.0
Jacole Armor,2.2222222222222223
Jacole Weapon,1.9285714285714286
Karnak Armor,2.0
Karnak Magic 1,2.142857142857143
Karnak Magic 2,2.3636363636363638
Karnak Magic 3,2.0952380952380953
Karnak Weapon 1,2.0952380952380953
Karnak Weapon 2,2.1666666666666665
Kelb Armor,2.6363636363636362
Kelb Weapon,2.176470588235294
Lix Armor,1.8181818181818181
Lix Guild,1.75
Lix Inn,2.0
Lix Magic,2.0
Mirage Armor,2.2857142857142856
Mirage Guild,2.380952380952381
Mirage Inn 1,2.4782608695652173
Mirage Inn 2,2.3333333333333335
Mirage Magic 1,2.3125
Mirage Magic 2,2.3529411764705883
Mirage Relic,2.1666666666666665
Mirage Weapon,2.5
Mua Armor,2.1666666666666665
Mua Magic 1,2.130434782608696
Mua Magic 2,2.347826086956522
Mua Magic 3,2.3157894736842106
Mua Weapon,2.0
Rugor Armor,2.263157894736842
Rugor Weapon,2.411764705882353
Surgate Armor,2.125
Surgate Weapon,2.0
Tule Armor,2.2
Tule Inn,2.1333333333333333
Tule Magic,2.1578947368421053
Tule Weapon,1.9565217391304348
Worus Armor,1.8125
Worus Magic,2.142857142857143
Worus Weapon,2.217391304347826
