check,value
12 Kuzar Events Apollo's Harp,2.0
12 Kuzar Events Assassin,3.6666666666666665
12 Kuzar Events Earth Bell,1.0
12 Kuzar Events Excalibur,2.0
12 Kuzar Events Flame Whip,2.0
12 Kuzar Events Holy Lance,2.6666666666666665
12 Kuzar Events Masamune,4.0
12 Kuzar Events Rune Axe,1.0
12 Kuzar Events Sage's Staff,2.0
12 Kuzar Events Sasuke,3.0
12 Kuzar Events Wizard Rod,1.0
12 Kuzar Events Yoichi Bow,3.0
"5 potions in Wind Shrine, bottom left guy Potion",3.3333333333333335
"8 potions, Pirate after Torna Canal Key acquired Potion",2.0
Abductor New,4.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,3.0
Ancient Library Chest Ether,2.0
Ancient Library Chest Stealth Suit,3.0
Antlion New,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,2.6666666666666665
Bahamut New,4.0
Bal Castle Chest Angel Gwn,0.0
Bal Castle Chest Exit,4.0
Barrier Tower Chest 18000,2.0
Barrier Tower Chest 9000,2.0
Barrier Tower Chest Drain Sword,2.6666666666666665
Barrier Tower Chest Gold Hairpin,3.3333333333333335
Beginner's House Chest 100,2.6666666666666665
Beginner's House Chest Ether,2.0
Beginner's House Chest Leather Shoes,2.0
Beginner's House Chest Phoenix Down,2.0
Beginner's House Chest Potion,4.0
Black Choco Crystals Bard,2.5
Black Choco Crystals Hunter,2.0
Brave Blade Brave Blade,2.0
Byblos New,4.0
Carbuncle Crbnkl,2.3333333333333335
Carbunkle New,4.0
Carwen Barrel Antidote,2.0
Carwen Box Ice Rod,2.0
Carwen Pot 1000,1.0
Chancellor at Tycoon Healing Staff,1.0
Chicken Knife Chicken Knife,3.3333333333333335
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,2.0
Crayclaw New,4.0
Earth Crystal Chemist,1.0
Earth Crystal Dancer,1.5
Earth Crystal Dragoon,1.5
Earth Crystal Samurai,1.0
Exdeath's Castle Chest 8000,1.5
Exdeath's Castle Chest 9900,2.0
Exdeath's Castle Chest DblLance,1.6666666666666667
Exdeath's Castle Chest Diamond Shield,2.0
Exdeath's Castle Chest Elixir,3.5
Exdeath's Castle Chest Ether,2.5
Exdeath's Castle Chest Gale Bow,2.0
Exdeath's Castle Chest Ice Shield,2.0
Exdeath's Castle Chest IceBrand,1.0
Exdeath's Castle Chest Kotetsu,4.0
Exdeath's Castle Chest Partisan,1.5
Exdeath's Castle Chest Pinwheel,3.0
Fire Crystal Geomancer,2.5
Fire Crystal Mediator,2.0
Fire Crystal Ninja,2.0
Flying Lonka Ruins Chest 5000,1.0
Flying Lonka Ruins Chest Ancient Sword,1.0
Flying Lonka Ruins Chest Cabin,2.0
Flying Lonka Ruins Chest Elixir,2.5
