crystal,seed
Berserker,7281080
TimeMage,7281080
Mimic,7281080
Thief,7281080
Samurai,7281080
Chemist,7281080
Bard,7281080
RedMage,7281080
Ninja,7281080
BlackMage,7281080
Monk,7281080
Dragoon,7281080
Knight,7281080
Mediator,7281080
Summoner,7281080
Geomancer,7281080
WhiteMage,7281080
MysticKnight,7281080
BlueMage,7281080
Geomancer,4992398
Hunter,4992398
Chemist,4992398
BlueMage,4992398
Mimic,4992398
Summoner,4992398
Dancer,4992398
TimeMage,4992398
Dragoon,4992398
Monk,4992398
Berserker,4992398
MysticKnight,6842500
BlueMage,6842500
WhiteMage,6842500
BlackMage,6842500
Chemist,6842500
Berserker,6842500
Samurai,6842500
Freelancer,6842500
Geomancer,6842500
Knight,6842500
Summoner,6842500
Mimic,6842500
Ninja,6842500
RedMage,6842500
Dragoon,6842500
Thief,6842500
Monk,6842500
Dancer,6842500
