boss,key,seed
Karlabos,Ifrit's Fire,7281080
Galura,4th Tablet,7281080
Sergeant & DeathClaw,Pyramid Page,7281080
Sandworm,Big Bridge Key,7281080
ArchaeAvis,Canal Key,7281080
Titan,3rd Tablet,7281080
Gilgamesh 1,Bracelet,7281080
Tyrasaurus,1st Tablet,7281080
Abductor,Hiryuu Call,7281080
Atmos,Trench Page,7281080
Guardians,Falls Page,7281080
Carbunkle,Walse Tower Key,7281080
Gilgamesh 4,Submarine Key,7281080
Odin,Steamship Key,7281080
Omniscient,Sandworm Bait,7281080
GoGo,Elder Branch,7281080
Bahamut,Adamantite,7281080
Ifrit,2nd Tablet,7281080
Shiva,Moogle Suit,7281080
Crayclaw,Anti Barrier,7281080
Byblos,Shrine Page,4992398
WingRaptor,Walse Tower Key,4992398
Siren,Trench Page,4992398
Galura,Big Bridge Key,4992398
LiquiFlame,1st Tablet,4992398
Sergeant & DeathClaw,Bracelet,4992398
AdamanTiMi,Elder Branch,4992398
Sol Cannon,Falls Page,4992398
Chim.Brain,4th Tablet,4992398
Titan,Hiryuu Call,4992398
Gilgamesh 1,3rd Tablet,4992398
Abductor,Pyramid Page,4992398
Gilgamesh 3 & Enkidou,Canal Key,4992398
Guardians,Sandworm Bait,4992398
Antlion,Adamantite,4992398
Odin,Ifrit's Fire,4992398
"Triton, Neregeid & Phobos",Steamship Key,4992398
Minotauros,Submarine Key,4992398
GoGo,Moogle Suit,4992398
Ifrit,2nd Tablet,4992398
Byblos,Falls Page,6842500
WingRaptor,Hiryuu Call,6842500
Siren,Bracelet,6842500
Magisa & Forza,1st Tablet,6842500
Galura,Adamantite,6842500
Sergeant & DeathClaw,4th Tablet,6842500
Sol Cannon,Big Bridge Key,6842500
ArchaeAvis,Anti Barrier,6842500
Chim.Brain,Steamship Key,6842500
Titan,Canal Key,6842500
Gilgamesh 1,Moogle Suit,6842500
HiryuuPlant,Submarine Key,6842500
Carbunkle,Elder Branch,6842500
Antlion,Walse Tower Key,6842500
Omniscient,Sandworm Bait,6842500
Minotauros,Trench Page,6842500
Leviathan,3rd Tablet,6842500
Bahamut,Shrine Page,6842500
Ifrit,2nd Tablet,6842500
Shiva,Pyramid Page,6842500
