boss,key,seed
Byblos,Trench Page,5439346
WingRaptor,2nd Tablet,5439346
Karlabos,Steamship Key,5439346
Magisa & Forza,Hiryuu Call,5439346
Galura,Bracelet,5439346
LiquiFlame,Walse Tower Key,5439346
Sandworm,Moogle Suit,5439346
ArchaeAvis,Pyramid Page,5439346
Puroboros,Ifrit's Fire,5439346
Shiva,Falls Page,5439346
Crayclaw,Adamantite,5439346
Tyrasaurus,Submarine Key,5439346
Abductor,Sandworm Bait,5439346
HiryuuPlant,4th Tablet,5439346
Gilgamesh 3 & Enkidou,1st Tablet,5439346
Atmos,Elder Branch,5439346
Guardians,Mirage Radar,5439346
Antlion,Shrine Page,5439346
Odin,Anti Barrier,5439346
Omniscient,3rd Tablet,5439346
Leviathan,Big Bridge Key,5439346
