check,reward,mib,reward_value,seed
Wind Crystal Knight,TurtleShell,,75,7998281
Wind Crystal BlueMage,Thunder Scroll,,100,7998281
Wind Crystal BlackMage,Haste->Exit->Hast2->Quick,,0,7998281
Wind Crystal WhiteMage,Chicken Knife,,12500,7998281
Wind Crystal Monk,FrogSong->TinySong->MoonFlut,,0,7998281
Wind Crystal Thief,Trident,,1350,7998281
Fire Crystal Mediator,Flame Scroll,,100,7998281
Fire Crystal Geomancer,Dimen Ability Progressive,,0,7998281
Fire Crystal Ninja,Dagger,,150,7998281
Black Choco Crystals Bard,Defender Sword,,5500,7998281
Black Choco Crystals Hunter,Spear,,50,7998281
Earth Crystal Samurai,Cure White Magic Progressive,,0,7998281
Earth Crystal Dragoon,Javelin,,50,7998281
Earth Crystal Chemist,Scan->Charm->Holy,,0,7998281
Earth Crystal Dancer,Trident,,1350,7998281
Leviathan Esper Levia,Regen->Float->Reset->Xzone,,0,7998281
Titan Titan,Broadsword,,140,7998281
Carbuncle Crbnkl,CopperPlt,,175,7998281
Syldra Syldra,Soft,,75,7998281
Odin Odin,Thornlet,,10000,7998281
Phoenix Phenix,Knife,,75,7998281
Bahamut Bahmut,Dimen Ability Progressive,,0,7998281
Life (or Strength) Song from Crescent Town bard Vitality,Mediator Job Crystal,,0,7998281
Temptation Song at Lix Charm,Leather Armor,,40,7998281
Love Song at Istory Love,Equip Axes,,0,7998281
Requiem Song at Kelb Requiem,Knight Job Crystal,,0,7998281
Speed Song at Surgate Speed,Circlet,,2250,7998281
Magic Song at Ancient Library Magic,Mythril Armor,,350,7998281
Power Song from Crescent Town Power,Flash->Time Slip->DethClaw,,0,7998281
Hero Song from Crescent Town Hero,Preemptive,,0,7998281
"Fork Tower, two Magics Holy",ManEater,,12500,7998281
"Fork Tower, two Magics Flare",Gungnir,,4050,7998281
Meteo Meteo,Animals->Aim->X-Fight,,0,7998281
"5 potions in Wind Shrine, bottom left guy Potion",GbnPnch->Emision->Missle->Blwfsh,,0,7998281
"8 potions, Pirate after Torna Canal Key acquired Potion",Knife,,75,7998281
Chancellor at Tycoon Healing Staff,Tame,,0,7998281
Magisa & Forza Mythril Helm,Iron Armor,,250,7998281
