boss,key,seed
Karlabos,Hiryuu Call,7998281
Siren,Submarine Key,7998281
Galura,Falls Page,7998281
Sol Cannon,Bracelet,7998281
Chim.Brain,Anti Barrier,7998281
Titan,Canal Key,7998281
Tyrasaurus,Pyramid Page,7998281
HiryuuPlant,Sandworm Bait,7998281
Gilgamesh 3 & Enkidou,Walse Tower Key,7998281
Atmos,4th Tablet,7998281
Guardians,Adamantite,7998281
Carbunkle,Trench Page,7998281
Gilgamesh 4,Moogle Suit,7998281
Antlion,1st Tablet,7998281
Odin,Steamship Key,7998281
"Triton, Neregeid & Phobos",Big Bridge Key,7998281
Leviathan,Shrine Page,7998281
GoGo,2nd Tablet,7998281
Ifrit,Elder Branch,7998281
Shiva,Ifrit's Fire,7998281
